"Dấu thời gian","Bạn thường xuyên truy cập Vlearn với tần suất ntn","Khi học qua slide/tài liệu, bạn thường lưu giữ thông tin quan trọng bằng cách nào? ","Bạn thường làm gì với những phần nội dung đã được highlight hoặc ghi chú? ","Bạn cảm thấy phương pháp ""chỉ đọc lại"" các highlight/ghi chú mang lại hiệu quả như thế nào khi làm bài thi/kiểm tra?  ","Trở ngại lớn nhất của bạn khi ôn tập lại các ghi chú/highlight là gì? ","  Bạn đánh giá mức độ hữu ích của tính năng này như thế nào?  ","  Bạn thích bài Quiz tự động này xuất hiện dưới hình thức nào nhất?  "," Bạn muốn hệ thống nhắc bạn làm bài Quiz này vào thời điểm nào để đạt hiệu quả cao nhất?  ","URL để chúng mình chéo lại"
"2026/07/30 4:26:18 CH GMT+7","Hàng ngày","Bôi đen (Highlight) trực tiếp trên slide.","Chỉ xem lướt qua một lần trước khi thi.","Rất hiệu quả, tôi nhớ được hầu hết.","Có quá nhiều highlight/ghi chú, nhìn vào thấy lười không muốn đọc.","4","Trắc nghiệm nhiều lựa chọn (Multiple choice).;Thẻ ghi nhớ lật mặt (Flashcard).","Ngay lập tức sau khi học xong một bài.","https://docs.google.com/forms/d/e/1FAIpQLSf5ZyN_yhk2KRRQ1XI1YNdwLDo1UTpUrcRVYtZQ0Dv64tN1UA/viewform?usp=header"
"2026/07/30 4:26:45 CH GMT+7","3-4 lần 1 tuần","Gõ chú thích (Note) bên lề slide.","Tự mất thời gian làm thành flashcard hoặc câu hỏi để tự đố bản thân.","Kém hiệu quả, đọc thì hiểu nhưng lúc thi lại quên sạch.","Mất quá nhiều thời gian để tự tổng hợp lại.","2","Điền từ vào chỗ trống dựa trên câu bạn đã highlight.","Cuối tuần (tổng hợp quiz của cả tuần).","https://docs.google.com/forms/d/1sbAOi_H2eKoyDx8wNzxn13RK55rBxH8rukVMAZTstGA/edit"
"2026/07/30 4:31:46 CH GMT+7","3-4 lần 1 tuần","Tôi chỉ đọc, hiếm khi ghi chú hay highlight.","Gần như không bao giờ xem lại.","Bình thường, đôi khi tôi nhớ mang máng nhưng không chọn được đáp án.","Đọc lại thấy nhàm chán, dễ gây buồn ngủ.","5","Trắc nghiệm nhiều lựa chọn (Multiple choice).","Ngay lập tức sau khi học xong một bài.","https://docs.google.com/forms/d/e/1FAIpQLSff9JD0zG1ffOk9bd9OlDc9m7PW2JxCodDLMEXx9cQZhudKuA/viewform?usp=dialog"
"2026/07/30 5:11:13 CH GMT+7","Hàng ngày","Gõ chú thích (Note) bên lề slide.","Chỉ xem lướt qua một lần trước khi thi.","Bình thường, đôi khi tôi nhớ mang máng nhưng không chọn được đáp án.","Có quá nhiều highlight/ghi chú, nhìn vào thấy lười không muốn đọc.","3","Thẻ ghi nhớ lật mặt (Flashcard).;Câu hỏi Đúng/Sai nhanh.","Tùy tôi chủ động bấm nút ""Tạo Quiz"" khi có nhu cầu.",""
"2026/07/30 5:12:15 CH GMT+7","Hàng ngày","Bôi đen (Highlight) trực tiếp trên slide.","Tự mất thời gian làm thành flashcard hoặc câu hỏi để tự đố bản thân.","Kém hiệu quả, đọc thì hiểu nhưng lúc thi lại quên sạch.","Mất quá nhiều thời gian để tự tổng hợp lại.","5","Trắc nghiệm nhiều lựa chọn (Multiple choice).;Điền từ vào chỗ trống dựa trên câu bạn đã highlight.;Thẻ ghi nhớ lật mặt (Flashcard).;Câu hỏi Đúng/Sai nhanh.","Tùy tôi chủ động bấm nút ""Tạo Quiz"" khi có nhu cầu.",""
"2026/07/30 5:12:20 CH GMT+7","3-4 lần 1 tuần","Gõ chú thích (Note) bên lề slide.","Đọc đi đọc lại nhiều lần để thuộc.","Bình thường, đôi khi tôi nhớ mang máng nhưng không chọn được đáp án.","Mất quá nhiều thời gian để tự tổng hợp lại.","5","Trắc nghiệm nhiều lựa chọn (Multiple choice).;Điền từ vào chỗ trống dựa trên câu bạn đã highlight.","Cuối tuần (tổng hợp quiz của cả tuần).",""
"2026/07/30 5:12:32 CH GMT+7","Ít khi sử dụng","Tôi chỉ đọc, hiếm khi ghi chú hay highlight.","Chỉ xem lướt qua một lần trước khi thi.","Bình thường, đôi khi tôi nhớ mang máng nhưng không chọn được đáp án.","Đọc lại thấy nhàm chán, dễ gây buồn ngủ.","5","Trắc nghiệm nhiều lựa chọn (Multiple choice).;Thẻ ghi nhớ lật mặt (Flashcard).","Ngay lập tức sau khi học xong một bài.",""
"2026/07/30 5:13:10 CH GMT+7","Hàng ngày","Bôi đen (Highlight) trực tiếp trên slide.","Gần như không bao giờ xem lại.","Bình thường, đôi khi tôi nhớ mang máng nhưng không chọn được đáp án.","Đọc lại thấy nhàm chán, dễ gây buồn ngủ.","5","Trắc nghiệm nhiều lựa chọn (Multiple choice).;Điền từ vào chỗ trống dựa trên câu bạn đã highlight.;Thẻ ghi nhớ lật mặt (Flashcard).;Câu hỏi Đúng/Sai nhanh.","Tùy tôi chủ động bấm nút ""Tạo Quiz"" khi có nhu cầu.",""
"2026/07/30 5:13:14 CH GMT+7","Hàng ngày","Bôi đen (Highlight) trực tiếp trên slide.","Gần như không bao giờ xem lại.","Kém hiệu quả, đọc thì hiểu nhưng lúc thi lại quên sạch.","Mất quá nhiều thời gian để tự tổng hợp lại.","2","Trắc nghiệm nhiều lựa chọn (Multiple choice).","Cuối tuần (tổng hợp quiz của cả tuần).",""
"2026/07/30 5:14:31 CH GMT+7","Hàng ngày","Bôi đen (Highlight) trực tiếp trên slide.","Chỉ xem lướt qua một lần trước khi thi.","Rất hiệu quả, tôi nhớ được hầu hết.","Mất quá nhiều thời gian để tự tổng hợp lại.","5","Trắc nghiệm nhiều lựa chọn (Multiple choice).;Điền từ vào chỗ trống dựa trên câu bạn đã highlight.;Thẻ ghi nhớ lật mặt (Flashcard).;Câu hỏi Đúng/Sai nhanh.","Ngay lập tức sau khi học xong một bài.","https://docs.google.com/forms/d/e/1FAIpQLSeRAFGFcImX268SOE8sh7HxiHc0rUCtRXBRI3byCJk21LSF-Q/viewform?usp=publish-editor"
